"name","lat","lon"
"Laurel Municipal Airport","42.43170166015625","-97.07949829101562"
"Md1 Airport","41.368099212646484","-74.50559997558594"
"Kenley Airport","41.29169845581055","-80.5636978149414"
"Parks Airport","34.93149948120117","-95.25830078125"
"Broken B Airport","35.408087","-98.605477"
"Saxon Sycan Airport","42.839298248291016","-121.11699676513672"
"Richmond Airport","41.489498138427734","-71.62059783935547"
"B. J. Mc Combs Sisterdale Airport","29.975331","-98.742451"
"PTC Airport","35.298914","-86.474357"
"Cross Wind Airport","32.85820007324219","-97.74749755859375"
"Stevens-Crosby Airport","41.51570129394531","-115.86000061035156"
"Springwood Airstrip","37.55400085449219","-79.74980163574219"
"Knolle Ranch Airport","30.479253","-96.504031"
"Peterson Airport","29.10810089111328","-95.77749633789062"
"West Beaver Airport","61.589361","-149.847333"
"Stronghold Airport","31.924848","-110.040007"
"Alta Sierra Airport","39.113800048828125","-121.05699920654297"
"Cottonwood Field","38.055599212646484","-103.65299987792969"
"Placid Lakes Airport","27.2455997467041","-81.41310119628906"
"Cheryl-Lane Landings Airport","28.671100616455078","-82.0873031616211"
"Sunnybreeze Airport","27.055599212646484","-81.97059631347656"
"Sunbelt Strip","31.111299514770508","-83.68409729003906"
"Skydive Iowa Airport","41.74580001831055","-92.4093017578125"
"Taylor Ranch Landing Area Airport","45.10390090942383","-114.8550033569336"
"Gibbons Field","38.44729995727539","-86.44499969482422"
"Gordon Airport","41.12089920043945","-85.42500305175781"
"Coffman Airport","38.707000732421875","-95.13829803466797"
"Pine Hill Airport","42.468101501464844","-88.74320220947266"
"Kallander Field","42.304298400878906","-71.50589752197266"
"Perrotti Skyranch Airfield","43.34080123901367","-70.85469818115234"
"W Johnson Field","44.779998779296875","-95.6635971069336"
"Hogue Farm Airport","37.37839889526367","-93.36329650878906"
"Airhaven Airport","41.83259963989258","-73.8759994506836"
"William Irving Lewis Airport","35.32929992675781","-79.02999877929688"
"Summer Hill Farm Airport","41.33330154418945","-96.193603515625"
"Dakota Air Ranch Airport","35.650122","-79.650311"
"Ragtime Aerodrome","36.35449981689453","-95.86389923095703"
"Eagle Field","40.82699966430664","-77.98809814453125"
"Sullivan Lake State Airport","48.84090042114258","-117.28399658203125"
"Lazy G Bar Ranch Airport","33.282101","-97.497002"
"Running M Ranch Airport","32.26679992675781","-97.86699676513672"
"Pitcock Rosillos Mountain Ranch Airport","29.48240089416504","-103.16500091552734"
"Smokey Mtn Ranch Airport","30.739099502563477","-102.02400207519531"
"Alum Ridge STOLport","36.97650146484375","-80.493896484375"
"Parkway Farm Strip","44.00360107421875","-91.30760192871094"
